Feature,Importance
rpm_range,0.05418059855170006
lubrication_method,0.09644713223420048
speed_type,0.19597121887794053
industry_type,0.3187214911999315
bearing_type_assigned_1,0.37330389388483676
machine_type,0.4099695183315696
