context_key,bearing_type,avg_life,min_life,max_life,count
INDUSTRY_7|Blower - Blower|1440.0,Bearing_51,533.9333333333333,154.0,805.0,15
INDUSTRY_7|Blower - Blower|1450.0,Bearing_141,557.25,169.0,826.0,16
INDUSTRY_7|Blower - Blower|1480.0,Bearing_12,600.7222222222222,137.0,875.0,18
INDUSTRY_7|Blower - Blower|1480.0,Bearing_15,668.3333333333334,237.0,888.0,12
INDUSTRY_7|Blower - Blower|1490.0,Bearing_49,577.0909090909091,89.0,974.0,11
INDUSTRY_7|Blower - Blower|1980.0,Bearing_153,733.5,500.0,899.0,12
INDUSTRY_7|Blower - Blower|200.0,Bearing_88,717.6666666666666,271.0,1093.0,12
INDUSTRY_7|Blower - Blower|2800.0,Bearing_38,571.6304347826087,40.0,870.0,46
INDUSTRY_7|Blower - Blower|2980.0,Bearing_223,471.9375,353.0,657.0,16
INDUSTRY_7|Blower - Blower|300.0,Bearing_12,265.7049180327869,90.0,441.0,61
INDUSTRY_7|Blower - Blower|300.0,Bearing_427,315.46666666666664,117.0,439.0,15
INDUSTRY_7|Blower - Blower|600.0,Bearing_19,607.0,123.0,855.0,12
INDUSTRY_7|Crusher - Hammer Crusher|1480.0,Bearing_123,403.93333333333334,175.0,549.0,15
INDUSTRY_7|Fan - Axial Fan|1488.0,Bearing_49,671.0833333333334,474.0,881.0,12
INDUSTRY_7|Fan - Axial Fan|1500.0,Bearing_225,368.09090909090907,92.0,609.0,11
INDUSTRY_7|Fan - Axial Fan|750.0,Bearing_13,185.84615384615384,21.0,324.0,13
INDUSTRY_7|Fan - Centrifugal Fan(Double Suction)|750.0,Bearing_286,291.39130434782606,44.0,429.0,23
INDUSTRY_7|Fan - Centrifugal Fan(Double Suction)|991.0,Bearing_13,207.83333333333334,40.0,357.0,12
INDUSTRY_7|Fan - Centrifugal Fan(Double Suction)|997.0,Bearing_242,239.0,45.0,370.0,13
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|1475.0,Bearing_283,386.0,218.0,558.0,10
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|1475.0,Bearing_5,315.10526315789474,8.0,561.0,19
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|1485.0,Bearing_3,582.2727272727273,9.0,921.0,11
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|1486.0,Bearing_12,695.0666666666667,290.0,885.0,15
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|1488.0,Bearing_13,382.0,173.0,523.0,11
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|1776.0,Bearing_108,740.8,372.0,1142.0,15
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|200.0,Bearing_3,725.8863636363636,243.0,1031.0,44
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|200.0,Bearing_49,644.2,133.0,1049.0,10
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|2960.0,Bearing_38,713.1666666666666,79.0,1052.0,12
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|2980.0,Bearing_34,722.5,52.0,1074.0,10
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|400.0,Bearing_46,532.4615384615385,34.0,862.0,13
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|600.0,Bearing_53,672.5882352941177,59.0,972.0,17
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|750.0,Bearing_341,207.71917808219177,4.0,384.0,146
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|992.0,Bearing_13,801.9,291.0,1156.0,10
INDUSTRY_7|Fan - Centrifugal Fan(Single Suction)|993.0,Bearing_214,575.0833333333334,338.0,713.0,12
INDUSTRY_7|Fan - Over Hung Fan|1440.0,Bearing_51,539.7,387.0,702.0,10
INDUSTRY_7|Fan - Over Hung Fan|1460.0,Bearing_16,546.8,364.0,662.0,10
INDUSTRY_7|Fan - Over Hung Fan|1460.0,Bearing_18,590.1818181818181,46.0,876.0,11
INDUSTRY_7|Fan - Over Hung Fan|1460.0,Bearing_94,528.7,85.0,820.0,20
INDUSTRY_7|Fan - Over Hung Fan|1480.0,Bearing_43,745.3636363636364,10.0,981.0,11
INDUSTRY_7|Fan - Over Hung Fan|1485.0,Bearing_12,323.38461538461536,13.0,613.0,13
INDUSTRY_7|Fan - Over Hung Fan|450.0,Bearing_105,429.8205128205128,46.0,705.0,39
INDUSTRY_7|Motor - AC Motor|1400.0,Bearing_245,329.92857142857144,49.0,491.0,14
INDUSTRY_7|Motor - AC Motor|1440.0,Bearing_58,657.9,82.0,909.0,20
INDUSTRY_7|Motor - AC Motor|1485.0,Bearing_173,569.4375,108.0,895.0,16
INDUSTRY_7|Motor - AC Motor|200.0,Bearing_52,764.3076923076923,141.0,1030.0,13
INDUSTRY_7|Motor - AC Motor|2985.0,Bearing_86,629.4,25.0,819.0,10
INDUSTRY_7|Motor - AC Motor|600.0,Bearing_61,756.1666666666666,208.0,922.0,12
INDUSTRY_7|Motor - AC Motor|750.0,Bearing_347,201.55172413793105,12.0,368.0,29
INDUSTRY_7|Others - Non Standard|132.0,Bearing_212,382.2,134.0,665.0,10
INDUSTRY_7|Pump - Centrifugal Pump(Simply Supported)|1483.0,Bearing_184,476.1333333333333,199.0,662.0,15
INDUSTRY_7|Pump - Centrifugal Pump(Simply Supported)|1485.0,Bearing_125,535.8181818181819,15.0,775.0,11
INDUSTRY_7|Pump - Centrifugal Pump(Simply Supported)|1485.0,Bearing_228,276.9166666666667,77.0,394.0,12
INDUSTRY_7|Pump - Centrifugal Pump(Simply Supported)|985.0,Bearing_69,530.4782608695652,24.0,841.0,23
INDUSTRY_7|Pump - Centrifugal Pump(Simply Supported)|985.0,Bearing_76,657.8181818181819,39.0,873.0,11
INDUSTRY_8|Pump - Centrifugal Pump(Simply Supported)|1480.0,Bearing_33,881.7,94.0,1153.0,10
nan|Motor - AC Motor|1440.0,Bearing_581,89.91666666666667,31.0,220.0,12
