industry,make_a,make_b,mean_a,mean_b,lift_%,p_value,is_significant
INDUSTRY_1,MAKE_1,MAKE_4,520.5074152542373,394.7456647398844,31.858931395034578,1.0742403062133302e-06,True
INDUSTRY_1,MAKE_4,MAKE_5,394.7456647398844,674.0,-41.43239395550677,6.244934193796762e-06,False
INDUSTRY_1,MAKE_5,MAKE_3,674.0,345.92105263157896,94.84214530239635,4.389549744061257e-05,True
INDUSTRY_1,MAKE_1,MAKE_3,520.5074152542373,345.92105263157896,50.47000212750869,0.0032937657905902687,True
INDUSTRY_1,MAKE_5,MAKE_7,674.0,424.9,58.62555895504825,0.0034690338375227728,True
INDUSTRY_1,MAKE_1,MAKE_5,520.5074152542373,674.0,-22.773380526077545,0.006905506907924644,False
INDUSTRY_1,MAKE_5,MAKE_9,674.0,495.6666666666667,35.978480161398785,0.015678311390897894,True
INDUSTRY_1,MAKE_3,MAKE_6,345.92105263157896,632.1111111111111,-45.27527731263472,0.03867139609612904,False
INDUSTRY_1,MAKE_3,MAKE_9,345.92105263157896,495.6666666666667,-30.210951049446077,0.04311700014844269,False
INDUSTRY_1,MAKE_4,MAKE_6,394.7456647398844,632.1111111111111,-37.55122196064406,0.06541214416502569,False
INDUSTRY_1,MAKE_4,MAKE_9,394.7456647398844,495.6666666666667,-20.360659433782576,0.0669528630876645,False
INDUSTRY_1,MAKE_7,MAKE_6,424.9,632.1111111111111,-32.78080506240112,0.13512856374015053,False
INDUSTRY_1,MAKE_1,MAKE_7,520.5074152542373,424.9,22.50115680259764,0.1434506436361371,False
INDUSTRY_1,MAKE_6,MAKE_9,632.1111111111111,495.6666666666667,27.527460210715077,0.29750988432602116,False
INDUSTRY_1,MAKE_3,MAKE_7,345.92105263157896,424.9,-18.587655299698994,0.3442701706752188,False
INDUSTRY_1,MAKE_1,MAKE_6,520.5074152542373,632.1111111111111,-17.65570860804823,0.36406460194036216,False
INDUSTRY_1,MAKE_7,MAKE_9,424.9,495.6666666666667,-14.277067921990593,0.36917016739607045,False
INDUSTRY_1,MAKE_4,MAKE_3,394.7456647398844,345.92105263157896,14.114380069346563,0.4095152929497736,False
INDUSTRY_1,MAKE_1,MAKE_9,520.5074152542373,495.6666666666667,5.011583440666575,0.6155096712459343,False
INDUSTRY_1,MAKE_4,MAKE_7,394.7456647398844,424.9,-7.096807545331984,0.6511944610574312,False
INDUSTRY_1,MAKE_5,MAKE_6,674.0,632.1111111111111,6.626823694849714,0.7511432831248045,False
INDUSTRY_10,MAKE_1,MAKE_5,417.8833333333333,743.1538461538462,-43.76893351274886,1.5253065187836677e-07,False
INDUSTRY_10,MAKE_4,MAKE_5,533.1794871794872,743.1538461538462,-28.25449401373219,0.0011104476891514437,False
INDUSTRY_10,MAKE_1,MAKE_4,417.8833333333333,533.1794871794872,-21.62426661536982,0.05456231292114271,False
INDUSTRY_11,MAKE_3,MAKE_4,658.1538461538462,169.83333333333334,287.52925190609193,5.467027157418193e-10,True
