lubrication_type,bearing_type_assigned_1,num_bearing_makes,bearing_makes
Grease Lubrication,Bearing_563,1,['MAKE_4']
Grease Lubrication,Bearing_572,1,['MAKE_7']
Grease Lubrication,Bearing_58,1,['MAKE_1']
Grease Lubrication,Bearing_580,1,['MAKE_4']
Grease Lubrication,Bearing_59,1,['MAKE_1']
Grease Lubrication,Bearing_590,1,['MAKE_7']
Grease Lubrication,Bearing_595,1,['MAKE_1']
Grease Lubrication,Bearing_599,1,['MAKE_6']
Grease Lubrication,Bearing_6,1,['MAKE_1']
Grease Lubrication,Bearing_60,1,['MAKE_5']
Grease Lubrication,Bearing_605,1,['MAKE_1']
Grease Lubrication,Bearing_61,1,['MAKE_4']
Grease Lubrication,Bearing_621,1,['MAKE_4']
Grease Lubrication,Bearing_622,1,['MAKE_1']
Grease Lubrication,Bearing_623,1,['MAKE_1']
Grease Lubrication,Bearing_63,1,['MAKE_1']
Grease Lubrication,Bearing_630,1,['MAKE_1']
Grease Lubrication,Bearing_631,1,['MAKE_1']
Grease Lubrication,Bearing_635,1,['MAKE_1']
Grease Lubrication,Bearing_638,1,['MAKE_7']
Grease Lubrication,Bearing_645,1,['MAKE_1']
Grease Lubrication,Bearing_654,1,['MAKE_1']
Grease Lubrication,Bearing_658,1,['MAKE_1']
Grease Lubrication,Bearing_66,1,['MAKE_1']
Grease Lubrication,Bearing_664,1,['MAKE_1']
Grease Lubrication,Bearing_665,1,['MAKE_1']
Grease Lubrication,Bearing_666,1,['MAKE_1']
Grease Lubrication,Bearing_667,1,['MAKE_1']
Grease Lubrication,Bearing_678,1,['MAKE_1']
Grease Lubrication,Bearing_688,1,['MAKE_1']
Grease Lubrication,Bearing_69,1,['MAKE_1']
Grease Lubrication,Bearing_698,1,['MAKE_4']
Grease Lubrication,Bearing_714,1,['MAKE_16']
Grease Lubrication,Bearing_723,1,['MAKE_3']
Grease Lubrication,Bearing_728,1,['MAKE_1']
Grease Lubrication,Bearing_740,1,['MAKE_1']
Grease Lubrication,Bearing_741,1,['MAKE_1']
Grease Lubrication,Bearing_742,1,['MAKE_1']
Grease Lubrication,Bearing_754,1,['MAKE_7']
Grease Lubrication,Bearing_76,1,['MAKE_4']
Grease Lubrication,Bearing_80,1,['MAKE_7']
Grease Lubrication,Bearing_81,1,['MAKE_4']
Grease Lubrication,Bearing_82,1,['MAKE_1']
Grease Lubrication,Bearing_83,1,['MAKE_4']
Grease Lubrication,Bearing_91,1,['MAKE_1']
Grease Lubrication,Bearing_93,1,['MAKE_1']
Grease Lubrication,Bearing_96,1,['MAKE_1']
Grease Lubrication,Bearing_97,1,['MAKE_4']
Not Available,Bearing_1,1,['MAKE_1']
Not Available,Bearing_10,1,['MAKE_1']
Not Available,Bearing_100,1,['MAKE_4']
Not Available,Bearing_101,1,['MAKE_1']
Not Available,Bearing_103,1,['MAKE_1']
Not Available,Bearing_104,1,['MAKE_1']
Not Available,Bearing_105,1,['MAKE_1']
Not Available,Bearing_106,1,['MAKE_3']
Not Available,Bearing_107,1,['MAKE_1']
Not Available,Bearing_108,1,['MAKE_1']
Not Available,Bearing_109,1,['MAKE_1']
Not Available,Bearing_11,1,['MAKE_4']
Not Available,Bearing_110,1,['MAKE_1']
Not Available,Bearing_111,1,['MAKE_1']
Not Available,Bearing_114,1,['MAKE_4']
Not Available,Bearing_115,1,['MAKE_1']
Not Available,Bearing_116,1,['MAKE_1']
Not Available,Bearing_117,1,['MAKE_1']
Not Available,Bearing_118,1,['MAKE_7']
Not Available,Bearing_119,1,['MAKE_1']
Not Available,Bearing_12,1,['MAKE_1']
Not Available,Bearing_120,1,['MAKE_1']
Not Available,Bearing_122,1,['MAKE_1']
Not Available,Bearing_123,1,['MAKE_1']
Not Available,Bearing_124,1,['MAKE_1']
Not Available,Bearing_125,1,['MAKE_1']
Not Available,Bearing_127,1,['MAKE_9']
Not Available,Bearing_128,1,['MAKE_1']
Not Available,Bearing_129,1,['MAKE_1']
Not Available,Bearing_13,1,['MAKE_1']
Not Available,Bearing_131,1,['MAKE_4']
Not Available,Bearing_132,1,['MAKE_1']
Not Available,Bearing_133,1,['MAKE_4']
Not Available,Bearing_134,1,['MAKE_4']
Not Available,Bearing_135,1,['MAKE_4']
Not Available,Bearing_137,1,['MAKE_5']
Not Available,Bearing_139,1,['MAKE_1']
Not Available,Bearing_14,1,['MAKE_1']
Not Available,Bearing_140,1,['MAKE_1']
Not Available,Bearing_141,1,['MAKE_5']
Not Available,Bearing_142,1,['MAKE_3']
Not Available,Bearing_143,1,['MAKE_1']
Not Available,Bearing_144,1,['MAKE_4']
Not Available,Bearing_145,1,['MAKE_4']
Not Available,Bearing_146,1,['MAKE_5']
Not Available,Bearing_147,1,['MAKE_5']
Not Available,Bearing_148,1,['MAKE_6']
Not Available,Bearing_149,1,['MAKE_10']
Not Available,Bearing_15,1,['MAKE_5']
Not Available,Bearing_150,1,['MAKE_1']
Not Available,Bearing_151,1,['MAKE_11']
Not Available,Bearing_152,1,['MAKE_1']
Not Available,Bearing_154,1,['MAKE_1']
Not Available,Bearing_155,1,['MAKE_4']
Not Available,Bearing_156,1,['MAKE_1']
Not Available,Bearing_157,1,['MAKE_1']
Not Available,Bearing_158,1,['MAKE_4']
Not Available,Bearing_159,1,['MAKE_6']
Not Available,Bearing_16,1,['MAKE_1']
Not Available,Bearing_160,1,['MAKE_1']
Not Available,Bearing_161,1,['MAKE_1']
Not Available,Bearing_162,1,['MAKE_1']
Not Available,Bearing_163,1,['MAKE_1']
Not Available,Bearing_165,1,['MAKE_4']
Not Available,Bearing_166,1,['MAKE_4']
Not Available,Bearing_168,1,['MAKE_9']
Not Available,Bearing_169,1,['MAKE_4']
Not Available,Bearing_17,1,['MAKE_1']
Not Available,Bearing_170,1,['MAKE_4']
Not Available,Bearing_171,1,['MAKE_1']
Not Available,Bearing_172,1,['MAKE_1']
Not Available,Bearing_173,1,['MAKE_1']
Not Available,Bearing_174,1,['MAKE_1']
Not Available,Bearing_175,1,['MAKE_4']
Not Available,Bearing_176,1,['MAKE_1']
Not Available,Bearing_178,1,['MAKE_4']
Not Available,Bearing_179,1,['MAKE_1']
Not Available,Bearing_18,1,['MAKE_1']
Not Available,Bearing_180,1,['MAKE_1']
Not Available,Bearing_181,1,['MAKE_1']
Not Available,Bearing_182,1,['MAKE_1']
Not Available,Bearing_183,1,['MAKE_4']
Not Available,Bearing_184,1,['MAKE_1']
Not Available,Bearing_185,1,['MAKE_4']
Not Available,Bearing_186,1,['MAKE_7']
Not Available,Bearing_187,1,['MAKE_1']
Not Available,Bearing_188,1,['MAKE_7']
Not Available,Bearing_189,1,['MAKE_1']
Not Available,Bearing_19,1,['MAKE_1']
Not Available,Bearing_190,1,['MAKE_1']
Not Available,Bearing_191,1,['MAKE_4']
Not Available,Bearing_192,1,['MAKE_4']
Not Available,Bearing_193,1,['MAKE_1']
Not Available,Bearing_194,1,['MAKE_1']
Not Available,Bearing_195,1,['MAKE_4']
Not Available,Bearing_197,1,['MAKE_4']
Not Available,Bearing_198,1,['MAKE_1']
Not Available,Bearing_199,1,['MAKE_1']
Not Available,Bearing_2,1,['MAKE_2']
Not Available,Bearing_20,1,['MAKE_4']
Not Available,Bearing_200,1,['MAKE_4']
Not Available,Bearing_201,1,['MAKE_9']
Not Available,Bearing_202,1,['MAKE_1']
Not Available,Bearing_203,1,['MAKE_1']
Not Available,Bearing_204,1,['MAKE_1']
Not Available,Bearing_205,1,['MAKE_4']
Not Available,Bearing_206,1,['MAKE_4']
Not Available,Bearing_207,1,['MAKE_1']
Not Available,Bearing_208,1,['MAKE_1']
Not Available,Bearing_209,1,['MAKE_1']
Not Available,Bearing_21,1,['MAKE_4']
Not Available,Bearing_211,1,['MAKE_1']
Not Available,Bearing_212,1,['MAKE_1']
Not Available,Bearing_213,1,['MAKE_1']
Not Available,Bearing_214,1,['MAKE_1']
Not Available,Bearing_215,1,['MAKE_4']
Not Available,Bearing_216,1,['MAKE_1']
Not Available,Bearing_217,1,['MAKE_1']
Not Available,Bearing_218,1,['MAKE_1']
Not Available,Bearing_22,1,['MAKE_1']
Not Available,Bearing_220,1,['MAKE_1']
Not Available,Bearing_221,1,['MAKE_4']
Not Available,Bearing_223,1,['MAKE_1']
Not Available,Bearing_224,1,['MAKE_12']
Not Available,Bearing_225,1,['MAKE_4']
Not Available,Bearing_227,1,['MAKE_1']
Not Available,Bearing_228,1,['MAKE_1']
Not Available,Bearing_229,1,['MAKE_4']
Not Available,Bearing_23,1,['MAKE_1']
Not Available,Bearing_230,1,['MAKE_1']
Not Available,Bearing_231,1,['MAKE_4']
Not Available,Bearing_232,1,['MAKE_13']
Not Available,Bearing_234,1,['MAKE_1']
Not Available,Bearing_235,1,['MAKE_1']
Not Available,Bearing_236,1,['MAKE_1']
Not Available,Bearing_237,1,['MAKE_1']
Not Available,Bearing_238,1,['MAKE_1']
Not Available,Bearing_239,1,['MAKE_2']
Not Available,Bearing_24,1,['MAKE_4']
Not Available,Bearing_240,1,['MAKE_1']
Not Available,Bearing_241,1,['MAKE_1']
Not Available,Bearing_242,1,['MAKE_5']
Not Available,Bearing_243,1,['MAKE_1']
Not Available,Bearing_244,1,['MAKE_5']
Not Available,Bearing_245,1,['MAKE_7']
Not Available,Bearing_246,1,['MAKE_1']
Not Available,Bearing_248,1,['MAKE_1']
Not Available,Bearing_249,1,['MAKE_1']
Not Available,Bearing_25,1,['MAKE_1']
Not Available,Bearing_250,1,['MAKE_4']
Not Available,Bearing_251,1,['MAKE_1']
Not Available,Bearing_252,1,['MAKE_1']
Not Available,Bearing_253,1,['MAKE_7']
Not Available,Bearing_254,1,['MAKE_1']
Not Available,Bearing_255,1,['MAKE_1']
Not Available,Bearing_256,1,['MAKE_1']
Not Available,Bearing_257,1,['MAKE_4']
Not Available,Bearing_258,1,['MAKE_4']
Not Available,Bearing_259,1,['MAKE_1']
Not Available,Bearing_26,1,['MAKE_1']
Not Available,Bearing_260,1,['MAKE_14']
Not Available,Bearing_261,1,['MAKE_15']
Not Available,Bearing_262,1,['MAKE_4']
Not Available,Bearing_263,1,['MAKE_1']
Not Available,Bearing_264,1,['MAKE_5']
Not Available,Bearing_265,1,['MAKE_1']
Not Available,Bearing_266,1,['MAKE_1']
Not Available,Bearing_267,1,['MAKE_4']
Not Available,Bearing_268,1,['MAKE_1']
Not Available,Bearing_269,1,['MAKE_1']
Not Available,Bearing_27,1,['MAKE_1']
Not Available,Bearing_270,1,['MAKE_7']
Not Available,Bearing_271,1,['MAKE_1']
Not Available,Bearing_272,1,['MAKE_4']
Not Available,Bearing_274,1,['MAKE_1']
Not Available,Bearing_276,1,['MAKE_6']
Not Available,Bearing_277,1,['MAKE_6']
Not Available,Bearing_278,1,['MAKE_1']
Not Available,Bearing_279,1,['MAKE_1']
Not Available,Bearing_28,1,['MAKE_1']
Not Available,Bearing_283,1,['MAKE_1']
Not Available,Bearing_284,1,['MAKE_4']
Not Available,Bearing_285,1,['MAKE_4']
Not Available,Bearing_286,1,['MAKE_4']
Not Available,Bearing_287,1,['MAKE_1']
Not Available,Bearing_288,1,['MAKE_5']
Not Available,Bearing_289,1,['MAKE_1']
Not Available,Bearing_29,1,['MAKE_1']
Not Available,Bearing_290,1,['MAKE_11']
Not Available,Bearing_291,1,['MAKE_4']
Not Available,Bearing_292,1,['MAKE_1']
Not Available,Bearing_293,1,['MAKE_4']
Not Available,Bearing_295,1,['MAKE_1']
Not Available,Bearing_296,1,['MAKE_1']
Not Available,Bearing_297,1,['MAKE_6']
Not Available,Bearing_298,1,['MAKE_1']
Not Available,Bearing_299,1,['MAKE_1']
Not Available,Bearing_3,1,['MAKE_1']
Not Available,Bearing_30,1,['MAKE_1']
Not Available,Bearing_300,1,['MAKE_1']
Not Available,Bearing_301,1,['MAKE_7']
Not Available,Bearing_302,1,['MAKE_4']
Not Available,Bearing_303,1,['MAKE_1']
Not Available,Bearing_304,1,['MAKE_6']
Not Available,Bearing_305,1,['MAKE_5']
Not Available,Bearing_306,1,['MAKE_5']
Not Available,Bearing_307,1,['MAKE_1']
Not Available,Bearing_308,1,['MAKE_5']
Not Available,Bearing_309,1,['MAKE_1']
Not Available,Bearing_31,1,['MAKE_5']
Not Available,Bearing_310,1,['MAKE_8']
Not Available,Bearing_312,1,['MAKE_13']
Not Available,Bearing_315,1,['MAKE_1']
Not Available,Bearing_317,1,['MAKE_4']
Not Available,Bearing_319,1,['MAKE_4']
Not Available,Bearing_32,1,['MAKE_1']
Not Available,Bearing_320,1,['MAKE_8']
Not Available,Bearing_321,1,['MAKE_15']
Not Available,Bearing_322,1,['MAKE_1']
Not Available,Bearing_323,1,['MAKE_1']
Not Available,Bearing_324,1,['MAKE_4']
Not Available,Bearing_325,1,['MAKE_1']
Not Available,Bearing_326,1,['MAKE_1']
Not Available,Bearing_327,1,['MAKE_9']
Not Available,Bearing_328,1,['MAKE_1']
Not Available,Bearing_329,1,['MAKE_13']
Not Available,Bearing_33,1,['MAKE_4']
Not Available,Bearing_330,1,['MAKE_1']
Not Available,Bearing_331,1,['MAKE_1']
Not Available,Bearing_332,1,['MAKE_4']
Not Available,Bearing_333,1,['MAKE_1']
Not Available,Bearing_335,1,['MAKE_16']
Not Available,Bearing_336,1,['MAKE_1']
Not Available,Bearing_337,1,['MAKE_1']
Not Available,Bearing_338,1,['MAKE_1']
Not Available,Bearing_339,1,['MAKE_3']
Not Available,Bearing_34,1,['MAKE_1']
Not Available,Bearing_341,1,['MAKE_1']
Not Available,Bearing_342,1,['MAKE_4']
Not Available,Bearing_343,1,['MAKE_4']
Not Available,Bearing_344,1,['MAKE_1']
Not Available,Bearing_345,1,['MAKE_1']
Not Available,Bearing_347,1,['MAKE_7']
Not Available,Bearing_348,1,['MAKE_1']
Not Available,Bearing_349,1,['MAKE_1']
Not Available,Bearing_35,1,['MAKE_1']
Not Available,Bearing_350,1,['MAKE_1']
Not Available,Bearing_352,1,['MAKE_1']
Not Available,Bearing_353,1,['MAKE_4']
Not Available,Bearing_354,1,['MAKE_4']
Not Available,Bearing_355,1,['MAKE_1']
Not Available,Bearing_356,1,['MAKE_5']
Not Available,Bearing_357,1,['MAKE_5']
Not Available,Bearing_358,1,['MAKE_4']
Not Available,Bearing_359,1,['MAKE_1']
Not Available,Bearing_360,1,['MAKE_4']
Not Available,Bearing_362,1,['MAKE_1']
Not Available,Bearing_363,1,['MAKE_7']
Not Available,Bearing_365,1,['MAKE_7']
Not Available,Bearing_367,1,['MAKE_1']
Not Available,Bearing_368,1,['MAKE_3']
Not Available,Bearing_37,1,['MAKE_1']
Not Available,Bearing_370,1,['MAKE_3']
Not Available,Bearing_371,1,['MAKE_1']
Not Available,Bearing_372,1,['MAKE_9']
Not Available,Bearing_373,1,['MAKE_1']
Not Available,Bearing_374,1,['MAKE_4']
Not Available,Bearing_375,1,['MAKE_1']
Not Available,Bearing_376,1,['MAKE_1']
Not Available,Bearing_377,1,['MAKE_1']
Not Available,Bearing_378,1,['MAKE_1']
Not Available,Bearing_379,1,['MAKE_1']
Not Available,Bearing_38,1,['MAKE_1']
Not Available,Bearing_380,1,['MAKE_4']
Not Available,Bearing_381,1,['MAKE_4']
Not Available,Bearing_382,1,['MAKE_4']
Not Available,Bearing_384,1,['MAKE_4']
Not Available,Bearing_385,1,['MAKE_1']
Not Available,Bearing_386,1,['MAKE_4']
Not Available,Bearing_388,1,['MAKE_1']
Not Available,Bearing_389,1,['MAKE_1']
Not Available,Bearing_39,1,['MAKE_4']
Not Available,Bearing_390,1,['MAKE_1']
Not Available,Bearing_391,1,['MAKE_8']
Not Available,Bearing_392,1,['MAKE_9']
Not Available,Bearing_393,1,['MAKE_9']
Not Available,Bearing_394,1,['MAKE_1']
Not Available,Bearing_395,1,['MAKE_5']
Not Available,Bearing_396,1,['MAKE_7']
Not Available,Bearing_397,1,['MAKE_1']
Not Available,Bearing_398,1,['MAKE_1']
Not Available,Bearing_399,1,['MAKE_1']
Not Available,Bearing_4,1,['MAKE_1']
Not Available,Bearing_40,1,['MAKE_1']
Not Available,Bearing_400,1,['MAKE_5']
Not Available,Bearing_401,1,['MAKE_1']
Not Available,Bearing_402,1,['MAKE_1']
Not Available,Bearing_403,1,['MAKE_5']
Not Available,Bearing_404,1,['MAKE_1']
Not Available,Bearing_405,1,['MAKE_1']
Not Available,Bearing_406,1,['MAKE_1']
Not Available,Bearing_407,1,['MAKE_1']
Not Available,Bearing_408,1,['MAKE_1']
Not Available,Bearing_409,1,['MAKE_3']
Not Available,Bearing_41,1,['MAKE_1']
Not Available,Bearing_410,1,['MAKE_1']
Not Available,Bearing_411,1,['MAKE_1']
Not Available,Bearing_412,1,['MAKE_1']
Not Available,Bearing_413,1,['MAKE_1']
Not Available,Bearing_414,1,['MAKE_1']
Not Available,Bearing_415,1,['MAKE_1']
Not Available,Bearing_416,1,['MAKE_5']
Not Available,Bearing_417,1,['MAKE_4']
Not Available,Bearing_418,1,['MAKE_4']
Not Available,Bearing_419,1,['MAKE_1']
Not Available,Bearing_42,1,['MAKE_1']
Not Available,Bearing_420,1,['MAKE_1']
Not Available,Bearing_421,1,['MAKE_4']
Not Available,Bearing_422,1,['MAKE_1']
Not Available,Bearing_423,1,['MAKE_1']
Not Available,Bearing_424,1,['MAKE_1']
Not Available,Bearing_426,1,['MAKE_4']
Not Available,Bearing_427,1,['MAKE_1']
Not Available,Bearing_428,1,['MAKE_4']
Not Available,Bearing_43,1,['MAKE_1']
Not Available,Bearing_430,1,['MAKE_1']
Not Available,Bearing_431,1,['MAKE_6']
Not Available,Bearing_432,1,['MAKE_1']
Not Available,Bearing_433,1,['MAKE_4']
Not Available,Bearing_434,1,['MAKE_1']
Not Available,Bearing_435,1,['MAKE_4']
Not Available,Bearing_436,1,['MAKE_1']
Not Available,Bearing_437,1,['MAKE_4']
Not Available,Bearing_438,1,['MAKE_1']
Not Available,Bearing_439,1,['MAKE_1']
Not Available,Bearing_44,1,['MAKE_1']
Not Available,Bearing_440,1,['MAKE_1']
Not Available,Bearing_441,1,['MAKE_13']
Not Available,Bearing_442,1,['MAKE_1']
Not Available,Bearing_443,1,['MAKE_4']
Not Available,Bearing_445,1,['MAKE_1']
Not Available,Bearing_446,1,['MAKE_7']
Not Available,Bearing_447,1,['MAKE_7']
Not Available,Bearing_448,1,['MAKE_1']
Not Available,Bearing_449,1,['MAKE_1']
Not Available,Bearing_45,1,['MAKE_1']
Not Available,Bearing_450,1,['MAKE_1']
Not Available,Bearing_451,1,['MAKE_9']
Not Available,Bearing_452,1,['MAKE_4']
Not Available,Bearing_453,1,['MAKE_4']
Not Available,Bearing_454,1,['MAKE_1']
Not Available,Bearing_455,1,['MAKE_4']
Not Available,Bearing_456,1,['MAKE_4']
Not Available,Bearing_457,1,['MAKE_1']
Not Available,Bearing_458,1,['MAKE_1']
Not Available,Bearing_459,1,['MAKE_1']
Not Available,Bearing_46,1,['MAKE_1']
Not Available,Bearing_460,1,['MAKE_1']
Not Available,Bearing_461,1,['MAKE_7']
Not Available,Bearing_462,1,['MAKE_1']
Not Available,Bearing_463,1,['MAKE_1']
Not Available,Bearing_464,1,['MAKE_1']
Not Available,Bearing_466,1,['MAKE_1']
Not Available,Bearing_467,1,['MAKE_1']
Not Available,Bearing_468,1,['MAKE_1']
Not Available,Bearing_469,1,['MAKE_1']
Not Available,Bearing_47,1,['MAKE_5']
Not Available,Bearing_470,1,['MAKE_4']
Not Available,Bearing_471,1,['MAKE_4']
Not Available,Bearing_472,1,['MAKE_1']
Not Available,Bearing_473,1,['MAKE_4']
Not Available,Bearing_475,1,['MAKE_4']
Not Available,Bearing_476,1,['MAKE_1']
Not Available,Bearing_478,1,['MAKE_4']
