machine_type,rpm_range,avg_life,median_life,count
Roll - Granulator,500–999,340.3333333333333,314.0,6
Roll - Granulator,<500,163.33333333333334,162.0,6
Roller - Calendar Roll,1000–1999,196.0,205.0,3
Roller - Calendar Roll,500–999,260.375,242.0,8
Roller - Calendar Roll,<500,399.16279069767444,252.0,43
Rope - Drum,<500,462.2,263.0,10
Spindle - Spindle,1000–1999,41.0,41.0,2
Spindle - Spindle,500–999,167.16666666666666,149.0,6
Spindle - Spindle,<500,606.0,578.0,25
Turbine - Steam Turbine,3000+,978.0,978.0,1
VibroScreen - Vibro Screen,1000–1999,99.0,99.0,1
